Vertex Number,Vertex Name,Vertex X,Vertex Y,Vertex X_Width,Vertex Y_Height,Available,Connected
V1,RedStart,0,0,98,30,A,"V2,V8,V9"
V2,RedStart,0,30,98,55,A,"V3,V8,V9,V10"
V3,RedStart,0,85,98,54.5,A,"V4,V9,V10,V11"
V4,RedStart,0,139.5,98,45,A,"V5,V10,V11,V12"
V5,RedStart,0,184.5,98,54.25,A,"V6,V11,V12,V13"
V6,RedStart,0,238.75,98,55,A,"V7,V12,V13,V14"
V7,RedStart,0,294,98,30,A,"V13,V14"
V8,RedPowerCube,98,0,42,30,A,"V9,V15,V16"
V9,RedPowerCube,98,30,42,55,A,"V10,V15,V16"
V10,RedPowerCube,98,85,42,54.5,A,"V11,V16"
V11,RedPowerCube,98,139.5,42,45,R,V12
V12,RedPowerCube,98,184.5,42,54.25,A,"V13,V17"
V13,RedPowerCube,98,238.75,42,55,A,"V14,V17,V18"
V14,RedPowerCube,98,294,42,30,A,"V17,V18"
V15,RedSwitch,140,0,56,30,A,"V16,V19,V20"
V16,RedSwitch,140,30,56,55,A,"V19,V20"
V17,RedSwitch,140,238.75,56,30,A,"V18,V24,V25"
V18,RedSwitch,140,294,56,55,A,"V24,V25"
V19,RedPlatformGap,196,0,65.5,30,A,"V20,V26,V27"
V20,RedPlatformGap,196,30,65.5,65.25,A,"V21,V25,V27,V28"
V21,RedPlatformGap,196,95.25,65.5,44.25,A,"V22,V27,V28,V29"
V22,RedPlatformGap,196,139.5,65.5,45,A,"V23,V28,V29,V30"
V23,RedPlatformGap,196,184.5,65.5,44.25,A,"V24,V29,V30,V31"
V24,RedPlatformGap,196,228.75,65.5,65.25,A,"V25,V30,V31,V32"
V25,RedPlatformGap,196,294,65.5,30,A,"V31,V32"
V26,RedPlatform,261.5,0,26.5,30,A,"V27,V33,V34"
V27,RedPlatform,261.5,30,26.5,65.25,A,"V28,V33,V34"
V28,RedPlatform,261.5,95.25,54.25,44.25,A,"V29,V34"
V29,RedPlatform,261.5,139.5,54.25,45,A,V30
V30,RedPlatform,261.5,184.5,54.25,44.25,A,"V31,V35"
V31,RedPlatform,261.5,228.75,26.5,65.25,A,"V32,V35,V36"
V32,RedPlatform,261.5,294,26.5,30,A,"V35,V36"
V33,Red Null,288,0,72,30,R,"V34,V37,V38"
V34,Red Null,288,30,72,65.25,R,"V37,V38,V39"
V35,Blue Null,288,238.75,72,65.25,B,"V36,V41,V42,V43"
V36,Blue Null,288,294,72,30,B,"V42,V43"
V37,BluePlatform,360,0,26.5,30,A,"V38,V44,V45"
V38,BluePlatform,360,30,26.5,65.25,A,"V39,V44,V45,V46"
V39,BluePlatform,332.25,95.25,54.25,44.25,A,"V40,V45,V46,V37"
V40,BluePlatform,332.25,139.5,54.25,45,A,"V41,V46,V47,V48"
V41,BluePlatform,332.25,184.5,54.25,44.25,A,"V42,V47,V48,V49"
V42,BluePlatform,360,228.75,26.5,65.25,A,"V43,V48,V49,V50"
V43,BluePlatform,360,294,26.5,30,A,"V49,V50"
V44,BluePlatformGap,386.5,0,65.5,30,A,"V45,V51,V52"
V45,BluePlatformGap,386.5,30,65.5,65.25,A,"V46,V51,V52"
V46,BluePlatformGap,386.5,95.25,65.5,44.25,A,"V47,V52"
V47,BluePlatformGap,386.5,139.5,65.5,45,A,V48
V48,BluePlatformGap,386.5,184.5,65.5,44.25,A,V49
V49,BluePlatformGap,386.5,228.75,65.5,65.25,A,"V50,V53,V54"
V50,BluePlatformGap,386.5,294,65.5,30,A,"V53,V54"
V51,BlueSwitch,452,0,56,30,A,"V52,V55,V56"
V52,BlueSwitch,452,30,56,55,A,"V55,V56,V57"
V53,BlueSwitch,452,238.75,56,30,A,"V54,V59,V60,V61"
V54,BlueSwitch,452,294,56,55,A,"V60,V61"
V55,BluePowerCube,508,0,42,30,A,"V56,V62,V63,V64"
V56,BluePowerCube,508,30,42,55,A,"V57,V62,V63,V64"
V57,BluePowerCube,508,85,42,54.5,A,"V58,V63,V64,V65"
V58,BluePowerCube,508,139.5,42,45,B,"V59,V64,V65,V66"
V59,BluePowerCube,508,184.5,42,54.25,A,"V60,V665,V66,V67"
V60,BluePowerCube,508,238.75,42,55,A,"V61,V66,V67,V68"
V61,BluePowerCube,508,294,42,30,A,"V67,V68"
V62,BlueStart,550,0,98,30,A,V63
V63,BlueStart,550,30,98,55,A,V64
V64,BlueStart,550,85,98,54.5,A,V65
V65,BlueStart,550,139.5,98,45,A,V66
V66,BlueStart,550,184.5,98,54.25,A,V67
V67,BlueStart,550,238.75,98,55,A,V68
V68,BlueStart,550,294,98,30,A,
